Name,Description,Political Control,Region,Status,Threat Level,Type
Fjord's End,"Small village at the head of Easting Reach fjord. Population ~30. Natural harbor, excellent defensive position, potential Harper safe haven.",Independent,Fjord Area,Unexplored,Safe,Settlement
Thornhold,Frontier settlement around quarry and mine. Population ~120. Mixed human/half-orc/dwarf. Led by Chief Brunhilde Ironwall.,Independent,Giantspire Mountains,Unexplored,Caution,Settlement
Millhaven,Village built around working watermill. Population ~180. Last stop before entering Dunwood. Run by Alderman Gareth Stonebridge.,Independent,Settlements,Unexplored,Caution,Settlement
Whispering Cavern,"3-room limestone cave system. Former druidic sacred site, now cleared and serving as Harper base. Underground river and magical spring.",Harper,Giantspire Mountains,Cleared,Safe,Dungeon
Stone Forest (Shilin Kar),Massive limestone formations where Red Wizards perform annual dragon binding ritual. Ancient druidic site with powerful life magic that weakens acid effects.,Thayan,Giantspire Mountains,Hostile,Deadly,Landmark
Ravenscroft,Secretive village of herbalists and beekeepers. Population ~90. Led by Eldara Moonwhisper. Extensive protective gardens and wards against supernatural threats.,Independent,Dunwood,Unexplored,Caution,Settlement
Grimwater,Collection of stilt-houses around Drowned Valley swamp edges. Population ~65. Expert fishers and boat builders led by Captain Murk.,Independent,Fjord Area,Unexplored,Dangerous,Settlement
Dun-Tharos Ruins,,Abandoned,Dunwood,Hostile,Deadly,Landmark
Grimjaw's Hold,,Orc Clan,Giantspire Mountains,Unexplored,Caution,Settlement
The Drowned Valley,,Independent,Fjord Area,Unexplored,Dangerous,Geographic Feature
Ashford's Rest,,Abandoned,Dunwood,Hostile,Dangerous,Settlement
Dunwood,,,Dunwood,,,Geographic Feature
Damara,"In 1492 DR, Damara is a constitutional monarchy in the Cold Lands of northeastern Faerûn, ruled by Queen Concettina Delcasio since 1487 DR. The kingdom is politically stable but faces significant external threats from the expansionist Warlock Knights of Vaasa, who have sealed the Bloodstone Pass, disrupting trade and increasing military tensions. Internally, Damara is governed by a council of nobles with constitutional limits on royal power, and the capital has returned to Helgabal. The kingdom maintains strong trade with Impiltur, relies on local militias for defense, and is a key ally for Harper operations in the region.",,,,,Settlement
Vaasa,,,,,,Settlement
Silver Marches,,,,,,Geographic Feature
Impiltur,,,,,,Settlement
Vesperin,,,,,,Settlement
Giantspire Mountains,,,,,,Geographic Feature
